IRSZ.;CíMHELY NEVE;JELLEGE;VÁROSRÉSZ;1.SZÁM;1.JEL;2.SZÁM;2.JEL;;;;;;
6771;Bánya               ;utca;Szõreg;0;;0;;;;;;;
6757;Barack;utca;Gyálarét;0;;0;;;;;;;
6725;Barát               ;utca;;0;;0;;;;;;;
6791;Barátság            ;utca;Kiskundorozsma;0;;0;;;;;;;
6771;Barázda             ;utca;Szõreg;0;;0;;;;;;;
6726;Barcsay Károly;utca;;0;;0;;;;;;;
6721;Bárka               ;utca;;0;;0;;;;;;;
6727;Barna;utca;;0;;0;;;;;;;
6728;Baromfinevelõ;út;;0;;0;;;;;;;
6726;Baross László       ;utca;;0;;0;;;;;;;
6791;Bársonykerep;utca;;0;;0;;;;;;;
6723;Bártfai             ;utca;;0;;0;;;;;;;
6722;Bartók              ;tér;;0;;0;;;;;;;
6724;Bartucz Lajos;utca;;0;;0;;;;;;;
6791;Basahíd             ;utca;Kiskundorozsma;0;;0;;;;;;;
6727;Bástya              ;sor;;0;;0;;;;;;;
6722;Batthyány           ;utca;;0;;0;;;;;;;
6710;Bazsalikom          ;utca;Szentmihály;0;;0;;;;;;;
6723;Becsei              ;utca;;0;;0;;;;;;;
6722;Bécsi               ;körút;;-1;;0;;;;;;;
6725;Bécsi               ;körút;;-2;;0;;;;;;;
6722;Béke                ;utca;;0;;0;;;;;;;
6720;Béla                ;utca;;0;;0;;;;;;;
6771;Belsõ-tó;köz;Szõreg;0;;0;;;;;;;
6753;Belvíz              ;utca;Tápé;0;;0;;;;;;;
6725;Bem                 ;utca;;0;;0;;;;;;;
6791;Bence               ;utca;Kiskundorozsma;0;;0;;;;;;;
6753;Bencfahát          ;utca;Tápé;0;;0;;;;;;;
6727;Benczúr Gyula             ;utca;;0;;0;;;;;;;
6721;Bercsényi           ;utca;;0;;0;;;;;;;
6753;Beregi              ;sor;Tápé;0;;0;;;;;;;
6724;Beretzk Péter       ;utca;;0;;0;;;;;;;
6753;Berettyó            ;utca;Tápé;0;;0;;;;;;;
6791;Berkenye            ;utca;Kiskundorozsma;0;;0;;;;;;;
6726;Bérkert             ;utca;;0;;0;;;;;;;
6721;Berlini             ;körút;;-2;;0;;;;;;;
6724;Berlini             ;körút;;-1;;0;;;;;;;
6728;Bernát;köz;;0;;0;;;;;;;
6728;Berta ;tanya;;0;;0;;;;;;;
6726;Bertalan            ;utca;;0;;0;;;;;;;
6720;Berzsenyi           ;utca;;0;;0;;;;;;;
6753;Beszterce           ;utca;Tápé;0;;0;;;;;;;
6791;Bethlen Gábor       ;utca;Kiskundorozsma;0;;0;;;;;;;
6753;Bezdán;tanya;;0;;0;;;;;;;
6728;Biacsi;tanya;;0;;0;;;;;;;
6726;Bíbic               ;utca;;0;;0;;;;;;;
6724;Bibó István;utca;;0;;0;;;;;;;
6723;Bihari              ;utca;;0;;0;;;;;;;
6723;Bimbó               ;utca;;0;;0;;;;;;;
6726;Birkózó             ;köz;;0;;0;;;;;;;
6757;Birs;utca;Gyálarét;0;;0;;;;;;;
6723;Bite Pál            ;utca;;0;;0;;;;;;;
6726;Blaha Lujza         ;utca;;0;;0;;;;;;;
6721;Bocskai             ;utca;;0;;0;;;;;;;
6726;Boda Domokos;utca;;0;;0;;;;;;;
6729;Bódi Vera           ;utca;;0;;0;;;;;;;
6729;Bodobács;utca;Tompasziget;0;;0;;;;;;;
6722;Bódogh János        ;utca;;0;;0;;;;;;;
6728;Bodom;tanya;;0;;0;;;;;;;
6710;Bodomi              ;út;Szentmihály;0;;0;;;;;;;
6710;Bodorka;köz;Szentmihály;0;;0;;;;;;;
6710;Bodorka;utca;Szentmihály;0;;0;;;;;;;
6724;Bodzafa             ;utca;;0;;0;;;;;;;
6710;Bogár;út;;0;;0;;;;;;;
6726;Boglárka            ;utca;;0;;0;;;;;;;
6728;Bognár              ;utca;;0;;0;;;;;;;
6753;Bojtorján;utca;Tápé;0;;0;;;;;;;
6722;Bokor               ;utca;;-3;;0;;;;;;;
6725;Bokor               ;utca;;1;;5;;;;;;;
6725;Bokor               ;utca;;2;;4;;;;;;;
6771;Bokréta             ;utca;Szõreg;0;;0;;;;;;;
6726;Boldizsár           ;utca;;0;;0;;;;;;;
6722;Boldogasszony       ;sugárút;;1;;41;;;;;;;
6725;Boldogasszony       ;sugárút;;-3;;0;;;;;;;
6771;Boldogasszony       ;utca;Szõreg;0;;0;;;;;;;
6722;Bolyai János        ;utca;;0;;0;;;;;;;
6753;Bolygó              ;utca;Tápé;0;;0;;;;;;;
6728;Bor                 ;utca;;0;;0;;;;;;;
6726;Borbála             ;utca;;0;;0;;;;;;;
6725;Borbás              ;utca;;0;;0;;;;;;;
6791;Bordányi            ;köz;Kiskundorozsma;0;;0;;;;;;;
6791;Bordányi            ;út;Kiskundorozsma;0;;0;;;;;;;
6729;Bori Mihály         ;utca;;0;;0;;;;;;;
6791;Boróka;utca;Kiskundorozsma;0;;0;;;;;;;
6724;Boros József       ;köz;;0;;0;;;;;;;
6724;Boros József       ;utca;;0;;0;;;;;;;
6726;Borostyán           ;utca;;0;;0;;;;;;;
6757;Borostyán;liget;;0;;0;;;;;;;
6791;Bors;utca;Kiskundorozsma;0;;0;;;;;;;
6791;Borsika;utca;Kiskundorozsma;0;;0;;;;;;;
6725;Boszorkánysziget    ;utca;;0;;0;;;;;;;
6753;Botond              ;utca;Tápé;0;;0;;;;;;;
6791;Bölcs               ;utca;Kiskundorozsma;0;;0;;;;;;;
6723;Bölcsõde            ;utca;;0;;0;;;;;;;
6753;Börzsöny            ;utca;Tápé;0;;0;;;;;;;
6791;Brassói             ;utca;Kiskundorozsma;0;;0;;;;;;;
6791;Brassói             ;köz;Kiskundorozsma;0;;0;;;;;;;
6710;Brigád              ;köz;Szentmihály;0;;0;;;;;;;
6791;Bródy Mihály        ;utca;Kiskundorozsma;0;;0;;;;;;;
6727;Bronz               ;sor;;0;;0;;;;;;;
6721;Brüsszeli           ;körút;;-2;;0;;;;;;;
6723;Brüsszeli           ;körút;;-1;;0;;;;;;;
6753;Búcsú               ;sor;Tápé;0;;0;;;;;;;
6753;Budai Nagy Antal    ;utca;Tápé;0;;0;;;;;;;
6728;Budapesti ;út;;0;;0;;;;;;;
6723;Budapesti           ;körút;;0;;0;;;;;;;
6771;Budzsák             ;;Szõreg;0;;0;;;;;;;
6728;Bujdosó;telep;;0;;0;;;;;;;
6727;Bujdosó György      ;utca;;0;;0;;;;;;;
6726;Bulcsú              ;utca;;0;;0;;;;;;;
6791;Burgundi ;utca;Kiskundorozsma;0;;0;;;;;;;
6710;Busa;utca;;0;;0;;;;;;;
6726;Búvópatak;köz;;0;;0;;;;;;;
6791;Búza                ;utca;Kiskundorozsma;0;;0;;;;;;;
6727;Búzavirág           ;utca;;0;;0;;;;;;;
6791;Buzogány            ;utca;Kiskundorozsma;0;;0;;;;;;;
6791;Bükköny;utca;;0;;0;;;;;;;
6726;Cankó               ;utca;;0;;0;;;;;;;
6791;Cickafark;utca;Kiskundorozsma;0;;0;;;;;;;
6729;Cincér;utca;Tompasziget;0;;0;;;;;;;
6726;Cinke               ;utca;;0;;0;;;;;;;
6757;Citrom;utca;Gyálarét;0;;0;;;;;;;
6791;Citromfû;utca;Kiskundorozsma;0;;0;;;;;;;
6710;Compó;utca;;0;;0;;;;;;;
6757;Cötkény;út;;0;;0;;;;;;;
6791;Czékus              ;utca;Kiskundorozsma;0;;0;;;;;;;
6729;Czibula;utca;;0;;0;;;;;;;
6723;Csaba               ;utca;;0;;0;;;;;;;
6725;Csáktornyai         ;utca;;0;;0;;;;;;;
6724;Csáky József        ;utca;;0;;0;;;;;;;
6791;Csalán;utca;Kiskundorozsma;0;;0;;;;;;;
6728;Csallóközi          ;utca;;0;;0;;;;;;;
6726;Csalogány           ;utca;;0;;0;;;;;;;
6726;Csanádi             ;utca;;0;;0;;;;;;;
6729;Csantavéri          ;utca;;0;;0;;;;;;;
6727;Csap                ;utca;;0;;0;;;;;;;
6724;Csaplár Benedek;utca;;0;;0;;;;;;;
6753;Csatár              ;utca;Tápé;0;;0;;;;;;;
6791;Csatorna            ;utca;Kiskundorozsma;0;;0;;;;;;;
6727;Csavar              ;sor;;0;;0;;;;;;;
6724;Csefkó Gyula        ;utca;;0;;0;;;;;;;
6729;Cseh Imre           ;tér;;0;;0;;;;;;;
6728;Csejtei             ;utca;;0;;0;;;;;;;
6724;Csemegi             ;utca;;0;;0;;;;;;;
6729;Cserebogár;utca;Tompasziget;0;;0;;;;;;;
6725;Cserép;utca;;0;;0;;;;;;;
6725;Cserép;köz;;0;;0;;;;;;;
6725;Cserepes            ;sor;;0;;0;;;;;;;
6791;Cseresznye          ;utca;Kiskundorozsma;0;;0;;;;;;;
6727;Cserfa              ;utca;;0;;0;;;;;;;
6728;Cserje              ;sor;;0;;0;;;;;;;
6726;Cserõke             ;utca;;0;;0;;;;;;;
6753;Csertõ              ;utca;Tápé;0;;0;;;;;;;
6724;Cserzy Mihály       ;utca;;0;;0;;;;;;;
6729;Csíbor;utca;Tompasziget;0;;0;;;;;;;
6753;Csiki               ;utca;Tápé;0;;0;;;;;;;
6753;Csíkos-ér háti;tanya;;0;;0;;;;;;;
6723;Csillag             ;tér;;0;;0;;;;;;;
6725;Csillag             ;utca;;0;;0;;;;;;;
6726;Csinszka            ;utca;;0;;0;;;;;;;
6791;Csipi;tanya;;0;;0;;;;;;;
6791;Csipkebogyó;utca;Kiskundorozsma;0;;0;;;;;;;
6726;Csíz                ;utca;;0;;0;;;;;;;
6726;Csizmadia;köz;;0;;0;;;;;;;
6753;Csobánka            ;utca;Tápé;0;;0;;;;;;;
6725;Csókai              ;utca;;0;;0;;;;;;;
6753;Csokonai            ;utca;Tápé;0;;0;;;;;;;
6723;Csongor             ;tér;;0;;0;;;;;;;
6728;Csongor Gyõzõ;utca;Baktó;0;;0;;;;;;;
6721;Csongrádi           ;sugárút;;1;;15;;;;;;;
6721;Csongrádi           ;sugárút;;2;;16;;;;;;;
6723;Csongrádi           ;sugárút;;17;;93;;;;;;;
6724;Csongrádi           ;sugárút;;-3;;0;;;;;;;
6725;Csonka              ;utca;;0;;0;;;;;;;
6723;Csorba              ;utca;;0;;0;;;;;;;
6724;Csõ                 ;utca;;0;;0;;;;;;;
6725;Csöndes             ;utca;;0;;0;;;;;;;
6723;Csörlõ              ;utca;;0;;0;;;;;;;
6791;Csucsor;köz;Kiskundorozsma;0;;0;;;;;;;
6723;Csuka               ;utca;;0;;0;;;;;;;
6710;Csuma               ;köz;Szentmihály;0;;0;;;;;;;
6791;Csüdfû;utca;;0;;0;;;;;;;
6791;Dália;utca;Kiskundorozsma;0;;0;;;;;;;
6727;Dalos               ;utca;;0;;0;;;;;;;
6724;Damjanich           ;utca;;0;;0;;;;;;;
6723;Dandár              ;utca;;0;;0;;;;;;;
6722;Dáni ;utca;;0;;0;;;;;;;
6723;Dankó Pista         ;utca;;0;;0;;;;;;;
6729;Darázs;utca;Tompasziget;0;;0;;;;;;;
6727;Dárda               ;utca;;0;;0;;;;;;;
6725;Daru                ;utca;;0;;0;;;;;;;
6791;Daruhalom;dûlõ;Kiskundorozsma;0;;0;;;;;;;
6757;Datolya;utca;Gyálarét;0;;0;;;;;;;
6720;Deák Ferenc         ;utca;;0;;0;;;;;;;
6723;Debreceni           ;utca;;0;;0;;;;;;;
6727;Délceg              ;utca;;0;;0;;;;;;;
6757;Deli Károly         ;utca;Gyálarét;0;;0;;;;;;;
6791;Délibáb             ;utca;Kiskundorozsma;0;;0;;;;;;;
6726;Demeter Ferenc;utca;;0;;0;;;;;;;
6728;Dér István;utca;;0;;0;;;;;;;
6791;Derce               ;utca;Kiskundorozsma;0;;0;;;;;;;
6727;Deres;utca;;0;;0;;;;;;;
6726;Derkovits ;fasor;;0;;0;;;;;;;
6726;Déryné              ;utca;;0;;0;;;;;;;
6729;Dettre János        ;utca;;0;;0;;;;;;;
6753;Déva                ;utca;Tápé;0;;0;;;;;;;
6727;Diadal              ;utca;;0;;0;;;;;;;
6791;Dianovszky;tér;Kiskundorozsma;0;;0;;;;;;;
6791;Dinnyés             ;utca;Kiskundorozsma;0;;0;;;;;;;
6726;Diófa               ;utca;;0;;0;;;;;;;
6710;Dióliget;köz;;0;;0;;;;;;;
6791;Díszlet;utca;;0;;0;;;;;;;
6753;Dobó István         ;utca;Tápé;0;;0;;;;;;;
6725;Dobó                ;utca;;0;;0;;;;;;;
6727;Dobogó              ;utca;;0;;0;;;;;;;
6791;Dobos               ;utca;Kiskundorozsma;0;;0;;;;;;;
6753;Dobozi              ;utca;Tápé;0;;0;;;;;;;
6727;Dolgos              ;utca;;0;;0;;;;;;;
6720;Dóm                 ;tér;;0;;0;;;;;;;
6791;Domaszéki           ;út;Kiskundorozsma;0;;0;;;;;;;
6728;Domonkos;tanya;;0;;0;;;;;;;
6729;Dongó;utca;Tompasziget;0;;0;;;;;;;
6753;Dorogi Imre         ;utca;Tápé;0;;0;;;;;;;
6726;Dorottya            ;utca;;0;;0;;;;;;;
6791;Dorozsmai;köz;;0;;0;;;;;;;
6728;Dorozsmai;út;;1;;41;;;;;;;
6728;Dorozsmai;út;;2;;56;;;;;;;
6791;Dorozsmai           ;út;Kiskundorozsma;-3;;0;;;;;;;
6791;Dorozsmai MÁV;õrház;;0;;0;;;;;;;
6728;Dósa;tanya;;0;;0;;;;;;;
6728;Dózsa               ;tanya;;0;;0;;;;;;;
6720;Dózsa               ;utca;;0;;0;;;;;;;
6753;Dráva               ;utca;Tápé;0;;0;;;;;;;
6727;Duda                ;utca;;0;;0;;;;;;;
6791;Dudás               ;utca;Kiskundorozsma;0;;0;;;;;;;
6720;Dugonics            ;tér;;-3;;0;;;;;;;
6721;Dugonics            ;utca;;0;;0;;;;;;;
6722;Dugonics            ;tér;;7;;9;;;;;;;
6727;Duna                ;utca;;0;;0;;;;;;;
6710;Dûlõ                ;utca;Szentmihály;0;;0;;;;;;;
6791;Ecetfa;utca;Kiskundorozsma;0;;0;;;;;;;
6729;Ecsedi Géza         ;utca;;0;;0;;;;;;;
6791;Ecsetpázsit;köz;;0;;0;;;;;;;
6757;Egres;utca;Gyálarét;0;;0;;;;;;;
6726;Egressy Béni        ;utca;;0;;0;;;;;;;
6710;Egyenlõség          ;utca;Szentmihály;0;;0;;;;;;;
6722;Egyetem             ;utca;;0;;0;;;;;;;
6710;Eke                 ;köz;Szentmihály;0;;0;;;;;;;
6757;Elõd                ;utca;Gyálarét;0;;0;;;;;;;
6726;Emese               ;utca;;0;;0;;;;;;;
6771;Ezüstfa;utca;Szõreg;0;;0;;;;;;;
6720;Eötvös              ;utca;;0;;0;;;;;;;
6728;Eper                ;utca;;0;;0;;;;;;;
6723;Eperjesi            ;sor;;0;;0;;;;;;;
6723;Építõ               ;utca;;0;;0;;;;;;;
6727;Érc                 ;utca;;0;;0;;;;;;;
6710;Erdei Ferenc        ;utca;Szentmihály;0;;0;;;;;;;
6726;Erdélyi             ;tér;;0;;0;;;;;;;
6724;Erdész;park;;0;;0;;;;;;;
6728;Erdész;út;;0;;0;;;;;;;
6728;Erdészház;utca;;0;;0;;;;;;;
6723;Erdõ                ;utca;;0;;0;;;;;;;
6728;Erdõkerülõ;utca;Baktó;0;;0;;;;;;;
6791;Erdõstarcsa         ;utca;Kiskundorozsma;0;;0;;;;;;;
6728;Erdõszéli;út;Baktó;0;;0;;;;;;;
6791;Erkel               ;utca;Kiskundorozsma;0;;0;;;;;;;
6723;Erõs János          ;utca;;0;;0;;;;;;;
6791;Erzsébet            ;utca;Kiskundorozsma;0;;0;;;;;;;
6710;Estike              ;utca;Szentmihály;0;;0;;;;;;;
6791;Északi              ;sor;Kiskundorozsma;0;;0;;;;;;;
6753;Esze Tamás          ;utca;Tápé;0;;0;;;;;;;
6724;Eszperantó;utca;;0;;0;;;;;;;
6726;Eszter              ;utca;;0;;0;;;;;;;
6723;Etelka              ;sor;;0;;0;;;;;;;
6753;Éva                 ;utca;Tápé;0;;0;;;;;;;
6726;Evezõ;köz;;0;;0;;;;;;;
6727;Ezüst               ;utca;;0;;0;;;;;;;
6771;Ezüsttó;utca;Szõreg;0;;0;;;;;;;
6771;Fácán               ;utca;Szõreg;0;;0;;;;;;;
6727;Fadrusz             ;utca;;0;;0;;;;;;;
6753;Fagyöngy;utca;Tápé;0;;0;;;;;;;
6791;Fahéj;utca;Kiskundorozsma;0;;0;;;;;;;
6726;Fakopáncs           ;utca;;0;;0;;;;;;;
6791;Faragó;dûlõ;Kiskundorozsma;0;;0;;;;;;;
6728;Faragó;tanya;;0;;0;;;;;;;
6725;Faragó              ;utca;;0;;0;;;;;;;
6725;Farkas              ;utca;;0;;0;;;;;;;
6753;Farkas              ;tanya;Tápé;0;;0;;;;;;;
6728;Farkas 1;tanya;;0;;0;;;;;;;
6729;Fátyolka;utca;Tompasziget;0;;0;;;;;;;
6791;Fátyolvirág;köz;;0;;0;;;;;;;
6723;Fecske              ;utca;;0;;0;;;;;;;
6791;Fecskefû;köz;;0;;0;;;;;;;
6726;Fegyverkovács;utca;;0;;0;;;;;;;
6771;Fehér akác;utca;;0;;0;;;;;;;
6728;Fehérfarkas;tanya;;0;;0;;;;;;;
6710;Fehérpart           ;utca;Szentmihály;0;;0;;;;;;;
6727;Fehértó             ;utca;;0;;0;;;;;;;
6728;Fehértói halas;tanya;;0;;0;;;;;;;
6728;Fehértói halas 1;tanya;;0;;0;;;;;;;
6720;Feketesas           ;utca;;0;;0;;;;;;;
6791;Fél                 ;utca;Kiskundorozsma;0;;0;;;;;;;
6729;Felebarát;köz;;0;;0;;;;;;;
6725;Felhõ               ;utca;;0;;0;;;;;;;
6726;Felsõ kikötõ        ;sor;;0;;0;;;;;;;
6721;Felsõ Tisza-part         ;;;1;;24;;;;;;;
6723;Felsõ Tisza-part         ;;;-3;;0;;;;;;;
6728;Felsõnyomás;út;;0;;0;;;;;;;
6728;Felsõvárosi feketeföldek;;;0;;0;;;;;;;
6728;Feltáró;út;;0;;0;;;;;;;
6728;Felvidéki;sor;;0;;0;;;;;;;
6753;Fenyves             ;utca;Tápé;0;;0;;;;;;;
6727;Fenyves-lejtõ       ;sor;;0;;0;;;;;;;
6753;Ferenczi;tanya;;0;;0;;;;;;;
6721;Festõ               ;utca;;0;;0;;;;;;;
6726;Fésû                ;utca;;0;;0;;;;;;;
6726;Fiala Antal;utca;;0;;0;;;;;;;
6753;Fiume               ;utca;Tápé;0;;0;;;;;;;
6726;Flóra               ;utca;;0;;0;;;;;;;
6728;Fodor;tanya;;0;;0;;;;;;;
6726;Fogarasi            ;utca;;0;;0;;;;;;;
6710;Fogas;utca;;0;;0;;;;;;;
6771;Fónai;tanya;Szõreg;0;;0;;;;;;;
6728;Fonógyári;út;;0;;0;;;;;;;
6728;Fontos Sándor;utca;;0;;0;;;;;;;
6728;Fontos Sándor;köz;;0;;0;;;;;;;
6728;Forradalom          ;utca;;0;;0;;;;;;;
6791;Forrai              ;utca;Kiskundorozsma;0;;0;;;;;;;
