2025-01-01,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Nemzetiségi önkormányzat,,,,,,,,,,,,
Helység megnevezése,Helység KSH kódja,Helység jogállása,Vármegye megnevezése,Járás kódja,Járás neve,Járás székhelye,"Polgármesteri hivatal, közös önkormányzati hivatal kódja","Polgármesteri hivatal, közös önkormányzati hivatal székhelye",Terület  (hektár),Lakó-népesség,Lakások száma,Becsült terület-adatokkal,bolgár  ,görög  ,horvát  ,lengyel  ,német  ,örmény  ,roma,román  ,ruszin  ,szerb  ,szlovák  ,szlovén  ,ukrán  
Aba,17376,város,Fejér,085 0,Székesfehérvári,Székesfehérvár,1 ,–,"8,805",4371,1570,,,,,,,,,,,,,,
Abádszalók,12441,város,Jász-Nagykun-Szolnok,164 0,Kunhegyesi,Kunhegyes,2 ,[Helyben],"13,223",3727,2018,,,,,,,,1,,,,,,
Abaliget,12548,község,Baranya,028 0,Pécsi,Pécs,5 ,Orfű,"1,609",596,286,,,,,,1,,1,,,,,,
Abasár,24554,község,Heves,106 0,Gyöngyösi,Gyöngyös,1 ,–,"2,082",2473,1175,,,,,,,,,,,,,,
Abaújalpár,15662,község,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,5 ,Abaújkér,848,73,54,,,,,,,,,,,,,,
Abaújkér,26718,község,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,2 ,[Helyben],"1,727",547,278,,,,,,,,1,,,,,,
Abaújlak,02820,község,Borsod-Abaúj-Zemplén,067 0,Szikszói,Szikszó,5 ,Selyeb,706,64,75,,,,,,,,,,,,,,
Abaújszántó,03595,város,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,2 ,[Helyben],"4,739",2671,1161,,,,,,,,1,,,,,,1
Abaújszolnok,26338,község,Borsod-Abaúj-Zemplén,067 0,Szikszói,Szikszó,5 ,Selyeb,867,227,50,,,,,,,,1,,,,,,
Abaújvár,02273,község,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,5 ,Gönc,735,229,139,,,,,,,,,,,,,,
Abda,11882,község,Győr-Moson-Sopron,087 0,Győri,Győr,2 ,[Helyben],"1,902",3155,1226,,,,,,,,,,,,,,
Abod,10357,község,Borsod-Abaúj-Zemplén,055 0,Edelényi,Edelény,5 ,Edelény,"3,116",136,126,,,,,,,,,,1,,,,
Abony,27872,város,Pest,124 0,Ceglédi,Cegléd,1 ,–,"12,797",14603,5963,,,,,,,,1,,,,,,
Ábrahámhegy,04561,község,Veszprém,189 0,Tapolcai,Tapolca,5 ,Badacsonytomaj,"1,488",592,392,,,,,,,,,,,,,,
Ács,04428,város,Komárom-Esztergom,112 0,Komáromi,Komárom,1 ,–,"10,385",6920,2791,,,,,,,,1,,,,,,
Acsa,18573,község,Pest,138 0,Váci,Vác,2 ,[Helyben],"2,694",1320,476,,,,,,,,1,,,,1,,
Acsád,07214,község,Vas,181 0,Szombathelyi,Szombathely,5 ,Nemesbőd,"1,434",623,189,,,,,,,,,,,,,,
Acsalag,33385,község,Győr-Moson-Sopron,086 0,Csornai,Csorna,5 ,Farád,"1,042",448,223,,,,,,,,,,,,,,
Ácsteszér,18139,község,Komárom-Esztergom,111 0,Kisbéri,Kisbér,5 ,Bakonyszombathely,"1,771",660,239,,,,,,,,,,,,,,
Adács,23241,község,Heves,106 0,Gyöngyösi,Gyöngyös,1 ,–,"3,794",2507,1192,,,,,,,,1,,,,,,
Ádánd,06080,község,Somogy,146 0,Siófoki,Siófok,2 ,[Helyben],"2,952",2049,835,,,,,,,,1,,,,,,
Adásztevel,07302,község,Veszprém,187 0,Pápai,Pápa,2 ,[Helyben],837,752,320,,,,,,1,,,,,,,,
Adony,08925,város,Fejér,078 0,Dunaújvárosi,Dunaújváros,2 ,[Helyben],"6,105",4103,1685,,,,,,1,,,,,,,,
